ID Household Income Bucket,Household Income Bucket,ID Year,Year,Household Income,Household Income Moe,Geography,ID Geography,Slug Geography,share
13,"$125,000-$149,999",2015,"2015",6023014,38702,"United States","01000US","united-states",0.050952568877383766
6,"$35,000-$39,999",2015,"2015",5398758,35391,"United States","01000US","united-states",0.045671583836153565
15,"$200,000+",2015,"2015",6852159,34713,"United States","01000US","united-states",0.05796684241582123
9,"$50,000-$59,999",2015,"2015",9176188,46722,"United States","01000US","united-states",0.07762730604674378
7,"$40,000-$44,999",2015,"2015",30164,3223,"King County, WA","05000US53033","king-county-wa",0.035655267792763505
15,"$200,000+",2015,"2015",108088,4275,"King County, WA","05000US53033","king-county-wa",0.1277651036064256
2,"$15,000-$19,999",2015,"2015",22598,2505,"King County, WA","05000US53033","king-county-wa",0.026711899667844773
5,"$30,000-$34,999",2015,"2015",5955338,41470,"United States","01000US","united-states",0.050380053845649524
10,"$60,000-$74,999",2015,"2015",79765,4178,"King County, WA","05000US53033","king-county-wa",0.09428598446790151
8,"$45,000-$49,999",2015,"2015",28168,3162,"King County, WA","05000US53033","king-county-wa",0.03329590184281138
14,"$150,000-$199,999",2015,"2015",6485421,38077,"United States","01000US","united-states",0.05486436860371421
4,"$25,000-$29,999",2015,"2015",5647124,32759,"United States","01000US","united-states",0.04777267238115783
13,"$125,000-$149,999",2015,"2015",65957,4127,"King County, WA","05000US53033","king-county-wa",0.07796427853757136
6,"$35,000-$39,999",2015,"2015",28193,3086,"King County, WA","05000US53033","king-county-wa",0.033325453019539236
9,"$50,000-$59,999",2015,"2015",52570,3496.0000000000005,"King County, WA","05000US53033","king-county-wa",0.062140214423338336
3,"$20,000-$24,999",2014,"2014",27349,2858,"King County, WA","05000US53033","king-county-wa",0.03314275050049201
9,"$50,000-$59,999",2014,"2014",49845,3254,"King County, WA","05000US53033","king-county-wa",0.06040441693286863
4,"$25,000-$29,999",2014,"2014",5819454,33695,"United States","01000US","united-states",0.04962887973177628
10,"$60,000-$74,999",2014,"2014",81677,4402,"King County, WA","05000US53033","king-county-wa",0.09897986882989089
8,"$45,000-$49,999",2014,"2014",30686,2581,"King County, WA","05000US53033","king-county-wa",0.037186677460166656
7,"$40,000-$44,999",2014,"2014",31571,2946,"King County, WA","05000US53033","king-county-wa",0.03825916033679598
6,"$35,000-$39,999",2014,"2014",5497994,41012,"United States","01000US","united-states",0.04688743703310097
13,"$125,000-$149,999",2014,"2014",5719984,35343,"United States","01000US","united-states",0.048780589726061
11,"$75,000-$99,999",2014,"2014",98916,4736,"King County, WA","05000US53033","king-county-wa",0.11987086579058348
6,"$35,000-$39,999",2014,"2014",29267,2358,"King County, WA","05000US53033","king-county-wa",0.03546706932238472
7,"$40,000-$44,999",2014,"2014",5460654,35347,"United States","01000US","united-states",0.0465689978171222
3,"$20,000-$24,999",2014,"2014",6265414,35121,"United States","01000US","united-states",0.053432070753680214
5,"$30,000-$34,999",2014,"2014",30316,2608,"King County, WA","05000US53033","king-county-wa",0.03673829478858151
12,"$100,000-$124,999",2014,"2014",92457,4723,"King County, WA","05000US53033","king-county-wa",0.11204355855877692
4,"$25,000-$29,999",2014,"2014",28495,2610,"King County, WA","05000US53033","king-county-wa",0.03453152493734761
8,"$45,000-$49,999",2014,"2014",4838192,30745,"United States","01000US","united-states",0.041260580268740354
5,"$30,000-$34,999",2014,"2014",5964957,34523,"United States","01000US","united-states",0.05086974371791873
2,"$15,000-$19,999",2014,"2014",6090411,37453,"United States","01000US","united-states",0.051939627847575956
13,"$125,000-$149,999",2014,"2014",58607,3418,"King County, WA","05000US53033","king-county-wa",0.07102260333402813
9,"$50,000-$59,999",2014,"2014",9208588,42680,"United States","01000US","united-states",0.07853174994621115
2,"$15,000-$19,999",2014,"2014",27999,2860,"King County, WA","05000US53033","king-county-wa",0.03393044978841185
1,"$10,000-$14,999",2014,"2014",25183,2920,"King County, WA","05000US53033","king-county-wa",0.030517894104131423
10,"$60,000-$74,999",2014,"2014",11677203,54318,"United States","01000US","united-states",0.0995843430140589
14,"$150,000-$199,999",2014,"2014",77063,4404,"King County, WA","05000US53033","king-county-wa",0.09338841573071834
0,"< $10,000",2014,"2014",46314,3529,"King County, WA","05000US53033","king-county-wa",0.05612539203187637
11,"$75,000-$99,999",2014,"2014",14102565,52211,"United States","01000US","united-states",0.12026807021664876
1,"$10,000-$14,999",2014,"2014",6160917,37283,"United States","01000US","united-states",0.05254090999438365
15,"$200,000+",2014,"2014",6263548,34437,"United States","01000US","united-states",0.053416157320980255
15,"$200,000+",2014,"2014",89443,4316,"King County, WA","05000US53033","king-county-wa",0.10839105755294551
14,"$150,000-$199,999",2014,"2014",6043692,32709,"United States","01000US","united-states",0.051541203591247295
12,"$100,000-$124,999",2014,"2014",9609100,46394,"United States","01000US","united-states",0.08194735592559223
0,"< $10,000",2014,"2014",8536754,46704,"United States","01000US","united-states",0.07280228309490204
13,"$125,000-$149,999",2013,"2013",5423054,38313,"United States","01000US","united-states",0.04663346657175192
9,"$50,000-$59,999",2013,"2013",9201117,54176.99999999999,"United States","01000US","united-states",0.0791214658829284
11,"$75,000-$99,999",2013,"2013",101549,5143,"King County, WA","05000US53033","king-county-wa",0.12392578291845346
3,"$20,000-$24,999",2013,"2013",33147,3273,"King County, WA","05000US53033","king-county-wa",0.040451091851204615
11,"$75,000-$99,999",2013,"2013",13823793,56657,"United States","01000US","united-states",0.11887238975682674
7,"$40,000-$44,999",2013,"2013",34717,3600.9999999999995,"King County, WA","05000US53033","king-county-wa",0.04236704847492293
5,"$30,000-$34,999",2013,"2013",6058650,34859,"United States","01000US","united-states",0.05209902985383232
1,"$10,000-$14,999",2013,"2013",6246216,40738,"United States","01000US","united-states",0.05371193151238066
12,"$100,000-$124,999",2013,"2013",83896,4638,"King County, WA","05000US53033","king-county-wa",0.10238286426972765
0,"< $10,000",2013,"2013",8783120,42582,"United States","01000US","united-states",0.07552706148891118
14,"$150,000-$199,999",2013,"2013",5644221,28751,"United States","01000US","united-states",0.04853530710317106
4,"$25,000-$29,999",2013,"2013",29298,3285,"King County, WA","05000US53033","king-county-wa",0.035753947236751224
8,"$45,000-$49,999",2013,"2013",30178,2587,"King County, WA","05000US53033","king-county-wa",0.036827859229663404
8,"$45,000-$49,999",2013,"2013",4849961,33574,"United States","01000US","united-states",0.04170537379266379
13,"$125,000-$149,999",2013,"2013",55214,3235,"King County, WA","05000US53033","king-county-wa",0.06738065542801494
1,"$10,000-$14,999",2013,"2013",27307,2531,"King County, WA","05000US53033","king-county-wa",0.03332422135278741
3,"$20,000-$24,999",2013,"2013",6375883,42979,"United States","01000US","united-states",0.05482695299473348
12,"$100,000-$124,999",2013,"2013",9326848,40023,"United States","01000US","united-states",0.08020264124749842
10,"$60,000-$74,999",2013,"2013",11619393,48912,"United States","01000US","united-states",0.09991650001079619
9,"$50,000-$59,999",2013,"2013",57812,3722,"King County, WA","05000US53033","king-county-wa",0.07055113651618068
14,"$150,000-$199,999",2013,"2013",73129,4306,"King County, WA","05000US53033","king-county-wa",0.08924330696553963
5,"$30,000-$34,999",2013,"2013",34265,2745,"King County, WA","05000US53033","king-county-wa",0.04181544822401804
2,"$15,000-$19,999",2013,"2013",6199796,41979,"United States","01000US","united-states",0.053312760580602976
15,"$200,000+",2013,"2013",5842617,33088,"United States","01000US","united-states",0.05024133718031381
2,"$15,000-$19,999",2013,"2013",25248,2804,"King County, WA","05000US53033","king-county-wa",0.03081151136028039
7,"$40,000-$44,999",2013,"2013",5506746,39177,"United States","01000US","united-states",0.04735314372863125
15,"$200,000+",2013,"2013",81416,3777.9999999999995,"King County, WA","05000US53033","king-county-wa",0.09935638501697514
10,"$60,000-$74,999",2013,"2013",74013,4058.0000000000005,"King County, WA","05000US53033","king-county-wa",0.0903221003766014
4,"$25,000-$29,999",2013,"2013",5905618,35079,"United States","01000US","united-states",0.05078309004272066
6,"$35,000-$39,999",2013,"2013",29550,3157,"King County, WA","05000US53033","king-county-wa",0.036061476580176076
6,"$35,000-$39,999",2013,"2013",5484000,39507,"United States","01000US","united-states",0.04715754825223713
0,"< $10,000",2013,"2013",48695,3594,"King County, WA","05000US53033","king-county-wa",0.05942516419870301
